title,location,desc,price,bath,bed,toilet,area
3 bedroom flat / apartment for rent,"Alagomeji, Yaba, Lagos","Spacious 3 bedroom flat with 2 toilets & bathroom, prepaid meter & car park in the compound in a serene & gated environment in alagomeji, yaba.rent: 800k08038592381tos property servi...",800000,,3 Bedrooms,2 Toilets,yaba
2 bedroom flat / apartment for rent,"Yaba, Lagos","Newly built & spacious 2 bedroom all rooms ensuite flatcar park in the compound & prepaid meteryaba, lagos.rent: 1.1m1 year rent payment is acceptable.08038592381, 08020330657.tos property servi...",1100000,2 Bathrooms,2 Bedrooms,3 Toilets,yaba
1 bedroom mini flat for rent,"Off Herbert Macaulay Way, Yaba, Lagos","This is a newly built & very spacious miniflat with 2 toilets, spacious kitchen with kitchen cabinets & cupboard, with 2 balconies, car park etc.rent: 1mlocation: off herbert macaulay way, yaba ,lagos.08038592381, 08020330657.tos property servic...",1000000,,,2 Toilets,yaba
Office space for rent,"Sabo, Yaba, Lagos","An existing well kept and neat 2 bedroom flat.,property is located in prime area of yaba with inter connectivity roads to the island and mainland. 2 units availab...",1500000,,,2 Toilets,yaba
3 bedroom flat / apartment for rent,"Yaba, Lagos","Luxuriously built 3 bedroom all rooms ensuite flat with car park, prepaid meter, 2 balconies etc in a nice environment in yaba ,lagos.rent: 2m08038592381, 08020330657.tos property servi...",2000000,3 Bathrooms,3 Bedrooms,4 Toilets,yaba
Flat / apartment for rent,"Yaba, Lagos","Newly built & spacious one room self-contained flat with 2 balconies, car park, prepaid meter & located in a serene & gated environment in yaba ,lagos.rent: 600k08038592381, 08020330657.tos property servi...",600000,,,,yaba
Self contained (single rooms) for rent,"Abule Ijesha, Yaba, Lagos","Roomself contain to let at abule ijesha yabait comes with a private balcony.upstairs apartment.gatedsecuritywatereasy access to islandrent: 450,000k p.a x 1year.for inspection please call;sunday;the property concession company08024772756 09031134...",450000,,,,yaba
1 bedroom mini flat for rent,"Oyadiran Estate, Sabo, Yaba, Lagos",A lovely and clean miniflat to let inside oyadiran estate sabo yabaa lovely housecleanneateasy access to island.landlord rent are optionals;700k per x 2years800k per annum x a year and half rentfor inspection please call;sunday;the property concession comp...,700000,,,,yaba
3 bedroom flat / apartment for rent,"Off Iwaya Road, Iwaya, Yaba, Lagos",A lovely spacious 3 bedroom flats to let at onike iwaya road yaba.lovely and spaciousrent: 1.2 million per annumfor inspection please call;sunday;the property concession comp...,1200000,,3 Bedrooms,,yaba
Self contained (single rooms) for rent,"Off Pako Bustop., Akoka, Yaba, Lagos","Amazing male and female hostel with amazing facilities at akoka yaba lagos(unisex)rent per annum for each bed space in a four bedspace = 375,000per person.two bedspace ,each space = 600,000refundable caution 25,000commission 50,000 ( slightly negotiable)total= 450,0000 or 650,000featurescar parkloungegames centerkitchenmodern finishes24/7 light facilitiessecure and modernand lot more, that mouth can't mention*company executive agent*@ *apartmentfinderhomes*0814366454508122754...",400000,,,,yaba
2 bedroom flat / apartment for rent,"Yaba, Lagos","2 bedroom flat with a spacious compound for car park & personal prepaid meter & wardrobes in all rooms.in a serene & gated environment in yaba.rent: 700k08038592381, 08020330657.tos property servi...",700000,,2 Bedrooms,,yaba
2 bedroom flat / apartment for rent,"Adekunle,, Alagomeji, Yaba, Lagos","Newly built & lovely 2 bedroom all rooms ensuite flat with car park. upstairs with balcony.rent 1myaba, lagos.08038592381, 08020330657.tos property servic...",1000000,2 Bathrooms,2 Bedrooms,3 Toilets,yaba
2 bedroom flat / apartment for rent,"Akoka, Yaba, Lagos","Lovely 2 bedroom flat with all rooms en-suite + guest convenient.big living room and dining,prepaid meter, borehole water, pop, chandler, water heater,wardrobes, shoe rack, fitted kitchen,interlocked floor, car park.corporate tenant only.up floor available.location: afolabi brown street, akoka, yaba.*rent: ₦1.5million per annum*refundable caution: 150kservice charge: 1...",1500000,2 Bathrooms,2 Bedrooms,3 Toilets,yaba
1 bedroom mini flat for rent,"Onike, Yaba, Lagos","1 bedroom mini flat for rent onike yaba lagos renting for ₦800,000 1year and half rent required.onike yaba lagos800k 1year and half rent requiredagreement 150kcommission 150kcaution 100kservice charge 70ktotal package = 1.67mservices covered- 24 hours security- water ( generator and eko electric recharge)- security lights- lawma- cleaning ( compound/ surroundings )- cda ...",800000,,,2 Toilets,yaba
1 bedroom flat / apartment for rent,"Jibowu, Yaba, Lagos",A lovely luxury bigger mini flat @ jibown by waec yaba lagos.good road network constant light secure gated house with car park.furnished with pop fitting an kitchen cabinet.proximity to unilag / ozone cinema / vi / ikoyi / cms / marina surulere / apapa warf / ikeja maryland mall.interested clientcall 08029510501 / 08184100140...,700000,,,2 Toilets,yaba
1 bedroom mini flat for rent,"Alagomeji, Yaba, Lagos","Check out this home that just hit the market at alagomeji, yaba.a newly built mini flat in a very serene, cool and conducive environment with all rooms ensuite, visitors' toilet, all round tiles, well fitted pop in the kitchen and other rooms, ,well fitted kitchen cabinet, running borehole water, prepaid metre, car park, gated compound with security man and easy road network to any part of lagos, nigeria.30 secs drive from alagomeji bus stop5 minutes drive from the third mainland bridgefor more enquiries, contact king's palacio properties: 09025420745 (call and whatsa...",1200000,,,2 Toilets,yaba
Self contained (single rooms) for rent,"Fadeyi Waec Axis Yaba, Yaba, Lagos","Furnished roomself contained with tiles all round wardrobes, chair and table, acs, television, ensuit toilet and shower, ample parking space, fenced round with gate, easy access and proximity advantage. it's a minute to ikorodu road, 5 minutes to yaba tech etcrent 400klegal 50kagency 50kcaution ...",400000,,,,yaba
Shop for rent,"Adekunle, Yaba, Lagos",Newly built and strategic shop with in built toilet on a busy road at adekunle y...,1000000,,,,yaba
Self contained (single rooms) for rent,"Akoka, Yaba, Lagos","Nelwy built serviced 4 man room female and male apartment fitted with bunk bed, ac ,wardrobe ,24/7 power supply , has a common exquisitely finished kitchen and lounge with some games for relaxation, 24/7 security at akoka yaba.rent: 375k per spacecaution deposit: 25ktotal: 4...",375000,,,,yaba
1 bedroom mini flat for rent,"Morroco, Jibowu, Yaba, Lagos",A lovely luxury bigger mini flat @ morroco by jibown waec yaba lagos.good road network constant light secure gated house with car park.furnished with pop fitting with kitchen cabinet cctv camera in the compund.easy proximity to vi ikoyi cms marina surulere apapa warf surulere ikeja.interested clientcall 08184100140 / 08029510501...,700000,,,,yaba
Self contained (single rooms) for rent,"Unilag Second Gate, Onike, Yaba, Lagos","A superb newly built fantastic hostel bed spaces to let at onike yabaits a very massive 4 man room bedspacetop notched finishing, located at onike which is not far from unilag second gate.a gated and secure environment.suitable for students and female working class.features include:*air conditioner*wardrobe and* safety safe under the bed with socket*pop fittings and wall scrided*reading table and chair*free internet wifi*maximum security guarantee from the entrance*phcn and silent proof generator*modern kitchen facilitiesrent: 600,000 per annumper bed space.for inspections please call;sunday;the property concession comp...",600000,,,,yaba
2 bedroom flat / apartment for rent,"Ireti Street, Gra, Sabo, Yaba, Lagos","A 2 bedroom serviced apartment in a beautiful environment off commercial avenue, sabo, yaba, good for either residential or commercial purpo...",2200000,3 Bathrooms,2 Bedrooms,3 Toilets,yaba
3 bedroom flat / apartment for rent,"Onike, Yaba, Lagos",,1500000,3 Bathrooms,3 Bedrooms,4 Toilets,yaba
3 bedroom flat / apartment for rent,"Sabo, Yaba, Lagos","A very clean, decent & spacious 3bd flat @ sabo-onike, yaba, lagos, in a block of 4flats, up flat, well tiled floors and ventilations, prepaid metre, borehole water with a fitted wardrobes, kitchen cabinets n cupboard, situated in a calm n conducive environment with stable power supply as well as adequate security guards, fenced round with gate n parking space.price: #1.5m per annum.a...",1500000,3 Bathrooms,3 Bedrooms,4 Toilets,yaba
3 bedroom flat / apartment for rent,"Akoka, Yaba, Lagos","Decent and spacious 3 bedroom ground flat, with 2toilet and 2 bath, water heater, prepaid meter, gated with car park space, situated at akoka yaba.rent: 1million per an...",1000000,2 Bathrooms,3 Bedrooms,2 Toilets,yaba
2 bedroom flat / apartment for rent,"Jibowu, Yaba, Lagos","2 bedroom ground flat at jibowu yaba with 2 toilet, 2 bath fitted with kitchen cabinet, wardrobe,security guard, car parkeasy access to anywhere both island and mainlandrent 1.2mill...",1200000,2 Bathrooms,2 Bedrooms,2 Toilets,yaba
Self contained (single rooms) for rent,"Onike, Yaba, Lagos","Newly built pop finished room self contain with 247 security, pre paid meter, well gated, has car park space, at onike yaba.rent: 500k per an...",500000,,,,yaba
1 bedroom mini flat for rent,"Jibowu, Yaba, Lagos","Newly built very spacious, pop finished mini flat , with easy access to the island and ikeja via ikorodu road, situated at jibowu yaba.rent: 800k per an...",800000,,,2 Toilets,yaba
1 bedroom mini flat for rent,"Jibowu, Yaba, Lagos","Nelwy built pop finished mini flat , fitted with 2 toilet, with easy access to the island via and ikeja via ikorodu road , located at jibowu yaba.rent 700k per annumagency 100klegal 100kcaution deposit 100kutilities 50k ( cleaning, security, waste dispos...",700000,2 Bathrooms,,2 Toilets,yaba
1 bedroom mini flat for rent,"Jibowu, Yaba, Lagos","To letnelwy built pop finished mini flat, fitted with 2 toilet, with easy access to the island via and ikeja via ikorodu road , located at jibowu yaba.rent 700k per annummjr Ĺanded ...",700000,,,2 Toilets,yaba
1 bedroom mini flat for rent,"Off Muritala Muhammad Road, Ebute Metta East, Yaba, Lagos","Now letting at ebuta metta, yabaexecutive newly built miniflat located off muritala muhammad road, ebute metta , lagosfeatures: easy access in and out, tarred street, fence and clean compound, pop finishing, all rooms ensuits, water heater, car park, secured environment etc..miniflat ₦900k per an...",900000,,,,yaba
Self contained (single rooms) for rent,"Akoka, Yaba, Lagos","Luxury built spacious serviced studio apartment fitted with wardrobe, kitchen cabinet, cement screeded wall, well gated and secured, located at akoka yaba.rent: 600k per an...",600000,,,,yaba
2 bedroom flat / apartment for rent,"Ebute Metta East, Yaba, Lagos","2 units of newly built 2 bedroom apartment/flat will all rooms ensuite, ample parking space available for rent at ebute metta east yaba lagos. 2 units available rent2 bedroom apartment/flat:#1.3m and2 bedroom apartment/ flat:#1.5m respective...",1300000,2 Bathrooms,2 Bedrooms,3 Toilets,yaba
3 bedroom detached duplex for rent,"Yaba, Lagos","3 bedroom duplex with bq at connel road, yaba , fitted with kitchen cabinet, wardrobe, water heater , gated and serene environmentrent: 3.5million per an...",3500000,3 Bathrooms,3 Bedrooms,4 Toilets,yaba
3 bedroom flat / apartment for rent,"Ebute Metta West, Yaba, Lagos","My direct brieffor rentnewly built lovely 3bedroom apartment all ensuite with guests toilet, constant water supply (borehole), pop ceiling, italian tiles, wardrobes, kitchen cabinet, water heater, fenced and gated, parking space, etc in a good neighborhood.location ebute matter yaba lagos rent 2m annuallypul cher ...",2000000,3 Bathrooms,3 Bedrooms,4 Toilets,yaba
3 bedroom terraced duplex for rent,"Connal Road, Yaba, Lagos","To let:a 3bedrooms terrace office space, with a room boys quarter,at very good location, connal road, yaba. lagos.rent:#3.5m,per annu...",3500000,3 Bathrooms,3 Bedrooms,4 Toilets,yaba
Office space for rent,"Yaba, Lagos","Fully serviced 30 square meters open plan office spacewith 24hrs power supply, car park etcannual rent/service charge: n1,500,000yaba ,lagos.08038592381, 08020330657tos property servi...",1500000,,,,yaba
1 bedroom mini flat for rent,"Yaba, Lagos","Lovely newly built miniflat with 2 toilets for rent in yaba ,lagosrent: 700k08038592381tos property servi...",700000,,,2 Toilets,yaba
1 bedroom mini flat for rent,"Igbobi Sabi Street, Jibowu, Yaba, Lagos","A lovely and nice well finished mini flat in yaba around jibowu igbobi sabi with all round tiles,well scredded walls,master bedroom,visitors toilet,well fitted pop fittings,kitchen cabinet,car park,prepaid metre,running borehole water,gated compound with security man and easy road network to any part of lagos nigeria. for further enquiries and inspection please contact toss reality investment limited on 08169456245.note: it is a service apartment that come generator. the 1.5m rent include the rent and the service. thanks for your understandi...",1500000,2 Bathrooms,,2 Toilets,yaba
3 bedroom flat / apartment for rent,"Adekunle, Yaba, Lagos","*to let to let**very spacious and massive3 bedroom flat located at adekunle yaba. rent 1. 4m a year rent. *a good enivronment security, good roads, running waters, 24/7 ligth and many more any tribe but must be a working class. *m...",1400000,3 Bathrooms,3 Bedrooms,4 Toilets,yaba
3 bedroom flat / apartment for rent,"Yaba, Lagos","Lovely 3 bedroom flat for rent @ 1.4m rent in yaba, lagos.08038592381tos property servi...",1400000,3 Bathrooms,3 Bedrooms,3 Toilets,yaba
1 bedroom mini flat for rent,"Obayan, Off Community Road, Akoka, Yaba, Lagos","To let:cute and compact mini-flat with 2 toilets and a bathguest convenient, private stairway, well ventilated bedroom, fitted kitchen,borehole water,car park.corporate client.up floor available.rent: 700k per annum x 2yearslegal: 140kagency: 140krefundable caution: 50klocation: obayan street, akoka, ya...",700000,,,2 Toilets,yaba
1 bedroom mini flat for rent,"Obayan, Akoka, Yaba, Lagos","To let:mini-flat with one toilet and one bath.well ventilated bedroom,borehole water,car park.rent: 750k per annumlegal: 75kagency: 150krefundable caution: 50klocation: obayan street, akoka, ya...",750000,,,,yaba
1 bedroom mini flat for rent,"Fola Agoro, Yaba, Lagos",Off folagoro road y...,600000,,,2 Toilets,yaba
3 bedroom flat / apartment for rent,"Yaba, Lagos","Decent & spacious 3 bedroom flat in a gated & serene environment in yaba ,lagos.rent: 1.2m08038592381tos property servi...",1200000,3 Bathrooms,3 Bedrooms,3 Toilets,yaba
3 bedroom flat / apartment for rent,"Alagomeji, Yaba, Lagos","Lovely & spacious 3 bedroom flat with 2 sitting rooms, all rooms ensuite with wardrobes, car park, prepaid meter & in a serene environment.location: alagomeji, yaba.rent: 2.2m. 1 year.08038592381tos property servi...",2200000,3 Bathrooms,3 Bedrooms,4 Toilets,yaba
Shop for rent,"Old Yaba Road, Adekunle, Yaba, Lagos","To let:a mini shop ideal for business use and directly facing busy road.annual rent: 500k p.aservice charge: 50,000other terms & conditions appl...",500000,,,,yaba
2 bedroom flat / apartment for rent,"By Borno Way, Alagomeji, Yaba, Lagos","A compact 2bedroom flat in in alagomeji yaba by borno way with all round tiles,well fitted pop fittings,well fitted wardrobes in each rooms,running borehole water,prepaid metre,gated compound with security man,car park,and easy road network to any part of lagos nigeria. for further enquiries and inspection please contact toss reality investment limited on 081694562...",1200000,2 Bathrooms,2 Bedrooms,3 Toilets,yaba
1 bedroom mini flat for rent,"Onike, Yaba, Lagos",Location: onike yabanewly built mini flat (1bedroom apartment)rent required 1year and 6month800k per yearagreement 150kcommission 150kcaution 100kservice charge 70ktotal package = 1.67mservices covered- 24 hours security- water ( generator and eko electric recharge)- security lights- lawma- cleaning ( compound/ surroundings )- cda ...,800000,,,2 Toilets,yaba
3 bedroom flat / apartment for rent,"Alagomeji, Yaba, Lagos","Lovely 3 bedroom flat with dedicated car park, prepaid meter, secure & in a serene environment.location: alagomeji, yaba.annual rent: 2.5m08038592381tos property servi...",2500000,3 Bathrooms,3 Bedrooms,3 Toilets,yaba
2 bedroom flat / apartment for rent,"Timothy Street, Onike, Yaba, Lagos","A lovely and nice well finished 2 bedroom flat in onike yaba with all round tiles, good pop fittings, well fitted kitchen cabinet, wardrobes in each rooms, car park, balcony, running borehole water, prepaid metre, gated compound with security man and easy road network to any part of lagos nigeria. for further enquiries and inspection please contact toss reality investment limited on 081694562...",1200000,2 Bathrooms,2 Bedrooms,3 Toilets,yaba
2 bedroom flat / apartment for rent,"Yaba, Lagos","2 bedroom flat in an estate for rent in yaba.rent: 1.2m08038592381, 08020330657.tos property servi...",1200000,2 Bathrooms,2 Bedrooms,2 Toilets,yaba
Self contained (single rooms) for rent,"Jibowu, Yaba, Lagos","A lovely and nice newly built room self contained in jibowu yaba with all round tiles, well fitted pop fittings, kitchen cabinet, balcony, prepaid metre, running borehole water and easy road network to any part of lagos nigeria. for further enquiries and inspection please contact toss reality investment limited on 081694562...",450000,,,,yaba
Office space for rent,"Connal Road, Off Herbert Macaulay Way, Yaba, Lagos","Connal road off herbert macaulay way, yaba-lagos. description:a serviced commercial three bedrooms duplex with one room boys quarters with modern and functional facilities and ample parking space.rent : #3.5mterm:one year. agency fee:#700,000:00(on two years rent). legal fee:#350,000:00(10% on one year rent). refundable caution deposit:#350,000:00(10% on one year rent). service charge:#675,000:00 per annum. note:this excludes diesel as you are to bring your sound proof generat...",3500000,3 Bathrooms,,4 Toilets,yaba
2 bedroom flat / apartment for rent,"Sabo, Yaba, Lagos","2 units of 2 bed apartment for rent in sabo yaba2.2m down flat2.3m down flatthe rooms are bigger than the market norm, likewise the kitchenthere is a general generator and also a facility manager in pl...",2200000,2 Bathrooms,2 Bedrooms,3 Toilets,yaba
Self contained (single rooms) for rent,"Jacob Mews Estate, Alagomeji, Yaba, Lagos","Lovely one room self-contained bq in jacob mews estate, alagomeji, yaba.with 24hrs power suppy. in a lovely serene & secure estate.rent: 550k08038592381tos property servi...",550000,,,,yaba
3 bedroom flat / apartment for rent,"Alagomeji, Yaba, Alagomeji, Yaba, Lagos","3 bedroom flat with car park, prepaid meter in a serene environment in alagomeji, yaba.rent: 1.7m08038592381tos property servi...",1700000,3 Bathrooms,3 Bedrooms,3 Toilets,yaba
3 bedroom flat / apartment for rent,"Osanyi Street, Alagomeji, Yaba, Lagos","A lovely and nice good 3bedroom flat in yaba alagomeji with all round tiles,all rooms ensuit,visitor toilet,water heater,shower cubicle,well fitted kitchen cabinet,well fitted pop fittings,well fitted wardrobes in each rooms,car park,balcony,prepaid metre,running borehole water,gated compound with security man and easy road network to any part of lagos nigeria. for further enquiries and inspection please contact toss reality investment limited on 081694562...",1700000,3 Bathrooms,3 Bedrooms,4 Toilets,yaba
1 bedroom mini flat for rent,"Off St Finbarrs Road, Akoka, Yaba, Lagos","This is lovely and spacious mini flat with 1toilet/ 2bath situated at akoka yaba lagos,its easily accessible to anywhere within lagos and it's environmentprice:#450,000 per annum(four hundred and fifty thousand naira on...",450000,,,2 Toilets,yaba
Office space for rent,"Yaba, Lagos","Lovely serviced 140 square meters office spacefeatures: 24hrs power supplyfunctional elevatormultiple large balconies overlooking the environmentlocation: in a very accessible & corporate location in yaba, lagos.annual rent: 2.5m08038592381, 08020330657tos property servi...",2500000,,,4 Toilets,yaba
4 bedroom terraced duplex for rent,"Lagoon View Estate, Adekunle, Yaba, Lagos","4 bedroom maisonnette with a study room and bq at lagoon view estate, makoko community, yaba.rent: n1. 8.mcaution deposit: n200kagency: 10%legal:...",1800000,4 Bathrooms,4 Bedrooms,5 Toilets,yaba
1 bedroom mini flat for rent,"Yabatech Lagasa, Oribanwa, Ibeju Lekki, Lagos","Available for rent is this well maintained room and palour in a nice location and with great features and amenities.-location: yabatech lagasa, ibeju-lekki-rental price: ₦300k per ann...",300000,,,,yaba
4 bedroom terraced duplex for rent,"Lavender Court Estate Yabatech Quarters Off Herbert Macaulay Way, Yaba, Lagos","This is a lovely 4 bedroom terrace duplex with bq situated in a calm and serene estate of yabatech, close proximity to unilag, easy access to the island and anywhere on the mainland.price:#3,200,000( three million, two hundred thousand naira onl...",3200000,4 Bathrooms,4 Bedrooms,5 Toilets,yaba
1 bedroom mini flat for rent,"Sabo, Yaba, Lagos","Newly miniflat for rent.location: sabo, yaba.rent: 700k per annum08038592381tos property servi...",700000,,,,yaba
1 bedroom mini flat for rent,"Oyediran Estate, Sabo, Yaba, Lagos",Just out for let now very clean mini flat at oyadiran estate sabo yaba for 700k two years rent or 800k one year rent and ha...,700000,,,2 Toilets,yaba
3 bedroom flat / apartment for rent,"Yaba, Lagos","3 bedroom upstairs flat @ 1.2m rentyaba ,lagos.rent: 1.2m08038592381.tos property servi...",1200000,2 Bathrooms,3 Bedrooms,3 Toilets,yaba
1 bedroom mini flat for rent,"Off Ajayi Street,onike, Onike, Yaba, Lagos",Direct mandatelocation: onike yaba lagos) mini flat - rent required 1.5years800k per yearagreement 150kcommission 150kcaution 100kservice charge 70ktotal package = 1.67mservices covered- 24 hours security- water ( generator and eko electric recharge)- security lights- lawma- cleaning ( compound/ surroundings )- cda ...,800000,,,2 Toilets,yaba
3 bedroom flat / apartment for rent,"Sabo, Yaba, Lagos","For rent:spacious 3 bedroom flat with car park in the compound & personal prepaid meter.location: sabo, yaba.rent: 1m08038592381tos property servi...",1000000,2 Bathrooms,3 Bedrooms,2 Toilets,yaba
